"REF_DATE","GEO","DGUID","Month of birth","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, March","Number of live births","Number","223","units","0","v21400542","1.4.1","29774","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, March","Number of live births","Number","223","units","0","v21400542","1.4.1","29292","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, March","Number of live births","Number","223","units","0","v21400542","1.4.1","29203","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, March","Number of live births","Number","223","units","0","v21400542","1.4.1","29189","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","35314","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","35250","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","34125","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","33183","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","31755","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","31802","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","30678","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","30281","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","28546","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","28227","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","28820","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","36272","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","36082","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","34805","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","34526","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","34567","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","33119","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","31735","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","30836","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","30000","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","29821","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","29907","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","34275","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","33814","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","33433","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","33667","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","33039","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","31316","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","29982","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","29347","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","29329","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","28753","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","28576","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","35269","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","35240","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","33958","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","33690","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","33304","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","32460","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","31033","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","30288","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","30175","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","28548","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","29089","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","34216","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","32944","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","32728","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","32953","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","32781","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","31296","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","29235","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","28943","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","28395","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","27740","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","28794","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","34324","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","33648","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","33169","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","32592","","","","0"
